cod_ibge,an_referencia,total
3100104,,535302594.69999975
3100203,,4509858192.03
3100302,,2303998435.259994
3100401,,1540272894.3800006
3100500,,2244790866.0800004
3100609,,2184632832.64
3100708,,1637626130.6199994
3100807,,2534212279.1000023
3100906,,2944747224.6999984
3101003,,2809939251.6399984
3101102,,4091406939.4000053
3101201,,592239823.8400006
3101300,,451852423.98000014
3101409,,1249452191.1599998
3101508,,2601658089.600001
3101607,,8712167127.260015
3101631,,1540361700.0
3101706,,4872616027.470003
3101805,,1318604538.4899983
3101904,,4149197535.4700036
3102001,,1167865464.8500006
3102050,,859649432.2400026
3102100,,871519270.6500008
3102209,,1361179140.7599976
3102308,,3263266217.7699986
3102407,,3096661611.7200017
3102506,,587624272.5200002
3102605,,4188773601.5800076
3102704,,2399763833.210002
3102803,,983161919.6399992
3102852,,2326582582.1800056
3102902,,2282624386.6400003
3103009,,1856543618.3600016
3103108,,801804192.9999985
3103207,,1044181125.6300005
3103306,,395346540.45999944
3103405,,4417851238.499996
3103504,,14359442801.299847
3103603,,507311171.38999975
3103702,,2112176801.8699994
3103751,,5896792002.659988
3103801,,1424817800.3500013
3103900,,1296246684.0800002
3104007,,34127248499.30001
3104106,,3329299539.7599945
3104205,,3367000659.229998
3104304,,3035843773.0900035
3104403,,436311733.1899994
3104452,,1867963723.7299993
3104502,,4303918667.050014
3104601,,1078870878.680001
3104700,,1685480442.2799983
3104809,,698015826.9099996
3104908,,1688888453.6800013
3105004,,1068478439.7400019
3105103,,3053430176.660002
3105202,,1463892377.3600025
3105301,,731555762.249999
3105400,,4431559008.519997
3105509,,843920574.8
3105608,,13266518158.470009
3105707,,924061308.1399994
3105905,,3884150401.219986
3106002,,1768917310.3299994
3106101,,662000180.6200007
3106200,,434061808001.1902
3106309,,4673202436.049995
3106408,,4319364757.519998
3106507,,2561968806.2700024
3106606,,1043401266.0599986
3106655,,1320218934.429999
3106705,,74060454805.15015
3106804,,554674954.2200004
3106903,,1029899877.2400002
3107000,,2248574102.000002
3107109,,4998300508.339996
3107208,,472436539.36000055
3107307,,11178946973.600058
3107406,,5581262656.800002
3107505,,669784952.0199997
3107604,,1905250221.1300015
3107703,,1726541571.7199986
3107802,,3276579986.170006
3107901,,2536244584.239998
3108008,,3558216729.78001
3108107,,1932405247.1700037
3108206,,1763024036.4
3108255,,2774191797.840002
3108305,,3444846360.5600033
3108404,,1123341616.18
3108503,,1851921467.5299988
3108552,,2259936760.5600038
3108602,,9451987741.85001
3108701,,798434831.6800003
3108800,,690813186.0600003
3108909,,3467004037.699996
3109006,,15221483783.209988
3109105,,2976812472.630001
3109204,,1581989001.4299998
3109253,,2319313019.799999
3109303,,7539986901.29998
3109402,,2750830394.409996
3109451,,1933858799.0500011
3109501,,2586758807.289997
3109600,,1037636561.5500013
3109709,,2318372347.599999
3109808,,1099470791.6199996
3109907,,1560814585.5199986
3110004,,3184837705.7900105
3110103,,1173016778.9299998
3110202,,586823527.7499993
3110301,,1883661095.1000006
3110400,,839125399.6600006
3110509,,3108744827.930002
3110608,,7966253565.639989
3110707,,1319288159.5600011
3110806,,1106976738.019999
3110905,,4057941644.2100005
3111002,,2436221515.0999994
3111101,,2064443895.6400013
3111150,,1736759162.5199978
3111200,,6006060781.500002
3111309,,2518313884.6099987
3111408,,3441644590.449991
3111507,,2646549742.4399962
3111606,,2532643716.3700004
3111705,,610472530.8900003
3111804,,1313815361.4600005
3111903,,2534212279.100002
3112000,,2704057862.8799973
3112059,,1379859933.1399992
3112109,,1523016425.2299955
3112208,,1048535475.240001
3112307,,6851988895.540005
3112406,,1815585842.5400019
3112505,,1354072025.7899983
3112604,,2440670892.339996
3112653,,788845809.7700007
3112703,,1385042269.319999
3112802,,5203314307.330007
3112901,,2055101079.700004
3113008,,3172750029.8600006
3113107,,1496596982.4199998
3113206,,5722670741.040019
3113305,,6338924394.369999
3113404,,7973105041.580009
3113503,,1741603589.8100014
3113602,,1814373117.899997
3113701,,2107009441.0299995
3113800,,900403181.9800003
3113909,,2583414526.3500013
3114006,,2090003082.659995
3114105,,1264350000.2699983
3114204,,2356047908.359997
3114303,,7536628923.080006
3114402,,2034809260.9800014
3114501,,1878689754.5000012
3114550,,1737555521.1000013
3114600,,1887325197.8399992
3114709,,1736979479.2200022
3114808,,563144240.81
3114907,,1403401934.6200013
3115003,,1808492702.8300028
3115102,,4334390997.129999
3115201,,1149297002.2199996
3115300,,1413807063.6800008
3115359,,3690025333.300001
3115409,,639101362.4900006
3115458,,1592305730.7599988
3115474,,1915629714.7600033
3115508,,1774959884.6
3115607,,1462991201.9599977
3115706,,1522492813.720002
3115805,,3215532704.240004
3115904,,558546499.6000007
3116001,,1036282425.5799987
3116100,,3071874340.380003
3116159,,3785279778.920005
3116209,,1328905946.3800018
3116308,,496897444.49999964
3116407,,2248278146.73
3116506,,774479617.0900012
3116605,,2489588151.660003
3116704,,734908940.8499978
3116803,,2020783178.8200002
3116902,,694020540.6000011
3117009,,1561344149.7999823
3117108,,814973960.24
3117207,,1134958716.9900022
3117306,,7885273244.200007
3117405,,1804408050.6099973
3117504,,9895950749.479996
3117603,,2774863160.0
3117702,,2422944958.420003
3117801,,2393951279.7799997
3117836,,1496887482.4199967
3117876,,3067771399.629999
3117900,,2194177648.3900013
3118007,,16365765839.919994
3118106,,923087647.3199987
3118205,,1281628358.8099997
3118304,,7456121341.640022
3118403,,2643696946.3499994
3118502,,1038613647.2099993
3118601,,11531520867.730003
3118700,,1578071515.610002
3118809,,5519101295.999991
3118908,,1150904572.8300033
3119005,,1196910810.4300003
3119104,,3606112278.609991
3119203,,2130810315.3599958
3119302,,7350597585.159996
3119401,,10691666831.420025
3119500,,910709883.24
3119609,,447712267.53999966
3119708,,1519538265.329999
3119807,,1332823175.7199998
3119906,,1283870239.4399989
3119955,,2186732358.0300035
3120003,,2254911809.4599953
3120102,,1728985908.8000002
3120151,,723606855.1100004
3120201,,2583992539.1099963
3120300,,663009284.3600001
3120409,,1073975865.4499974
3120508,,819707999.9999996
3120607,,977710874.6000005
3120706,,988146603.8499997
3120805,,1344704842.8600008
3120839,,1123581500.3099988
3120870,,2156856125.889999
3120904,,10571397990.520006
3121001,,1940106857.5800023
3121100,,1628119469.8900065
3121209,,1393755212.4600003
3121258,,3326107000.039999
3121308,,1552785997.2199993
3121407,,1371317721.8000014
3121506,,854978332.8999995
3121605,,5953637726.250002
3121704,,1473476943.6799996
3121803,,2113329346.4099998
3121902,,504977517.03999996
3122009,,4111979058.009996
3122108,,1084933503.9099987
3122207,,1148655308.6900024
3122306,,26253407660.27
3122355,,2151511140.340003
3122405,,1325585557.1099997
3122454,,2853972368.580003
3122470,,806861824.3000004
3122504,,2073155403.5699983
3122603,,1053099877.2800007
3122702,,1615355838.110003
3122801,,441740460.0
3122900,,655343302.3999997
3123007,,2130914153.4600155
3123106,,1270439324.6400008
3123205,,1687852338.8699992
3123304,,770187775.4400002
3123403,,887496056.0699993
3123502,,1499143444.230003
3123528,,1551084481.0199916
3123601,,5291536794.890005
3123700,,2142321479.4599934
3123809,,2008893260.110001
3123858,,2167651402.6599984
3123908,,2806757488.549999
3124005,,4560825742.869995
3124104,,7381528925.590021
3124203,,3922241943.9399996
3124302,,6206535085.370003
3124401,,1325544398.9600005
3124500,,1978925862.6700006
3124609,,452944870.4000006
3124708,,587901346.4499997
3124807,,1958535516.2100008
3124906,,922187935.3400005
3125002,,546318677.8000005
3125101,,17596211136.829956
3125200,,1273753360.2100005
3125309,,824972386.9499996
3125408,,2070089798.639999
3125507,,1566815764.5200012
3125606,,977413635.3399998
3125705,,2731117764.749995
3125804,,1254417927.5800023
3125903,,1448296212.1600015
3125952,,1078181861.250001
3126000,,2048276813.409997
3126109,,6686621275.249988
3126208,,1505217243.6599984
3126307,,2664235648.1799994
3126406,,948922154.2300017
3126505,,1183137533.8300004
3126604,,2063487754.889994
3126703,,5737015272.700002
3126752,,865921663.0399995
3126802,,1272487011.600001
3126901,,3167609054.929994
3126950,,1517927095.430002
3127008,,3531328083.26
3127057,,1114450572.4199982
3127073,,1975576741.5599997
3127107,,13766561552.109987
3127206,,1197452620.5699973
3127305,,1326155324.7999983
3127339,,1772871302.6799989
3127354,,1482617824.240002
3127370,,969785271.0200027
3127388,,470071408.9099998
3127404,,1136609978.1599994
3127503,,1192315967.3800006
3127602,,2564118284.8099995
3127701,,73859414076.82
3127800,,4369017119.369999
3127909,,1299515300.2200027
3128006,,5913010702.510019
3128105,,1977665138.8299985
3128204,,2787002169.510004
3128253,,1658141614.0699992
3128303,,1974837181.309998
3128402,,951571960.4799987
3128501,,575218673.1500007
3128600,,2383780643.4400043
3128709,,6761491519.079996
3128808,,1308014818.8400002
3128907,,2774615653.7999997
3129004,,1736607219.1699994
3129103,,1225001421.0600004
3129202,,1659374052.5599976
3129301,,3367553024.880002
3129400,,535110441.67
3129509,,3672100012.5200005
3129608,,2016138879.7999983
3129657,,608974186.5700006
3129707,,3497542159.4000015
3129806,,17313141097.40008
3129905,,1219954014.3700004
3130002,,1640781239.4100013
3130051,,2496715837.7900014
3130101,,3436381227.559995
3130200,,1489420607.890001
3130309,,1519008009.5000029
3130408,,1187384137.2500002
3130507,,2615764415.040003
3130556,,2180866729.029995
3130606,,1923342570.42
3130655,,2051020228.8300009
3130705,,3374700389.4300003
3130804,,1661884141.4799995
3130903,,6089788176.089986
3131000,,1699346215.5900044
3131109,,906491395.450001
3131158,,3745773369.869999
3131208,,2666149339.1600037
3131307,,33738527846.980045
3131406,,954999290.8200003
3131505,,2326685066.570004
3131604,,1789508876.2900007
3131703,,19893609001.720024
3131802,,1549364049.7899992
3131901,,12894406305.590006
3132008,,631279578.8200002
3132107,,5570099063.880009
3132206,,1397175027.1699984
3132305,,2056795007.2400022
3132404,,9880349678.789997
3132503,,7565139750.75
3132602,,1280007559.6399996
3132701,,4205914777.0600014
3132800,,811425449.1099995
3132909,,3139916665.7600045
3133006,,2361398036.29
3133105,,1959631942.7899947
3133204,,1757156245.02
3133303,,2668586542.4400063
3133402,,1342905926.419999
3133501,,4195529927.2799997
3133600,,1376376007.6400058
3133709,,3300172662.6800013
3133758,,1936778070.960002
3133808,,11154706604.919994
3133907,,1557057127.570002
3134004,,3296363607.5599947
3134103,,2240488001.260006
3134202,,20503741021.810043
3134301,,1340518381.6100006
3134400,,13523620150.759968
3134509,,1414560322.0799992
3134608,,3243469059.899994
3134707,,2120850353.8899999
3134806,,1746779292.3000007
3134905,,7364119725.209977
3135001,,1097373380.5900028
3135050,,7044221887.7300005
3135076,,1243295074.3699965
3135100,,18828585691.410053
3135308,,1916061098.7700005
3135357,,2422223329.0900025
3135407,,5045928853.719997
3135456,,1844895648.7899997
3135506,,2204286923.9000015
3135605,,2086930914.939999
3135704,,1204031989.5099967
3135803,,5601950007.31
3135902,,562227236.4399998
3136009,,2440439673.219996
3136108,,729685890.6899992
3136207,,12957053031.65003
3136306,,8969378838.669973
3136405,,2108630355.0600016
3136504,,1593312484.6200016
3136520,,1388025475.149999
3136553,,1062187012.1899998
3136579,,1808524178.400001
3136603,,1914514596.079995
3136652,,2066245999.4399993
3136702,,70936268522.58958
3136801,,1729258004.7000008
3136900,,2917146787.270003
3136959,,1856876076.52
3137007,,2747975212.519999
3137106,,1181001524.4300003
3137205,,5004671480.379999
3137304,,722301513.3299998
3137403,,2260050671.8999968
3137502,,4773912533.150003
3137536,,1480784194.7800026
3137601,,10438019235.65998
3137700,,3021061760.8700056
3137809,,3444128204.2999983
3137908,,1781216249.6699998
3138005,,591413565.6999999
3138104,,2223402085.33
3138203,,9786102206.400068
3138302,,1631551845.2900026
3138351,,2079993614.4199982
3138401,,8982930313.41
3138500,,681518659.2799993
3138609,,1336436450.54
3138625,,1276041463.8899994
3138658,,2409443109.6800003
3138674,,1685729751.9999986
3138682,,740688762.72
3138708,,2180271328.12
3138807,,2093508578.559996
3138906,,1310124864.8799982
3139003,,12056857577.559996
3139102,,612619583.1800003
3139201,,2111653545.1100013
3139250,,1999573631.3600008
3139300,,3308855611.5600004
3139409,,9709305466.769981
3139607,,3116118480.0300035
3139706,,1416938943.6600006
3139805,,859512331.1700003
3139904,,1040442224.5899997
3140001,,8296899388.580006
3140100,,1472208750.2800012
3140159,,641034332.519999
3140209,,521837546.71999925
3140308,,1503061958.1200032
3140407,,1233737523.6999958
3140506,,2697273275.86
3140530,,1357516690.2200022
3140555,,2103844633.310002
3140605,,1789631276.2299988
3140704,,2694039495.859999
3140803,,1686671899.400001
3140852,,1694486816.0499964
3140902,,3942691410.380003
3141009,,3746064627.1799984
3141108,,5104690838.599995
3141207,,2534212279.1000013
3141306,,1342214401.1499994
3141405,,4445367007.989995
3141504,,756262188.7999997
3141603,,964749492.0600004
3141702,,772014924.0899997
3141801,,5509492018.239929
3141900,,530660449.40999967
3142007,,3382774796.2699976
3142106,,1166181606.599999
3142205,,1252221788.149999
3142254,,1839482132.5399992
3142304,,1127215306.369999
3142403,,1870871314.4599962
3142502,,722457413.0900003
3142601,,938053570.2099996
3142700,,2256082887.9099975
3142809,,2959534502.9799995
3142908,,4529563826.660007
3143005,,3290599497.5099993
3143104,,4559862996.920003
3143153,,686866708.0100012
3143203,,5130492135.569998
3143302,,37153577587.01996
3143401,,4645987342.770006
3143450,,2167816594.5000014
3143500,,4127023859.6200075
3143609,,1693902881.3500009
3143708,,1741386300.860002
3143807,,1729935242.770002
3143906,,19610303092.859966
3144003,,2534212279.100001
3144102,,4951576603.579992
3144201,,1100149664.1999984
3144300,,5689312516.390007
3144359,,2070331157.7299988
3144375,,1051928772.7200005
3144409,,1538413662.539998
3144508,,2722205991.5600033
3144607,,2534777213.7800007
3144672,,1316421871.7199988
3144706,,2945463663.0000067
3144805,,17604484500.00999
3144904,,1368908775.3400023
3145000,,2959136050.780001
3145059,,2088813736.1099987
3145109,,3684181465.6599984
3145208,,12559733715.930016
3145307,,6399557219.780001
3145356,,1685246985.630001
3145372,,1919672374.4100003
3145406,,461915783.96000016
3145455,,2458679456.3499985
3145505,,946831837.6499999
3145604,,4573250895.109989
3145703,,621359047.2700002
3145802,,1105493794.04
3145851,,636154240.0799992
3145877,,1246892754.4299994
3145901,,4795385557.200018
3146008,,6840854094.229998
3146107,,12934107966.69003
3146206,,1324743982.060002
3146255,,1855892927.2999992
3146305,,2952401557.44
3146404,,1983782256.1300035
3146503,,1980689456.8599987
3146552,,2150845565.220003
3146602,,406622701.32000005
3146701,,1650312061.9800012
3146750,,1348176444.4400008
3146909,,2429800868.539999
3147006,,13432091027.270016
3147105,,17793572636.21002
3147204,,2175618185.440001
3147303,,4309601510.6700115
3147402,,2981736724.0600014
3147501,,636633127.8800001
3147600,,4046644179.0600014
3147709,,2229665611.1699986
3147808,,458874003.93000007
3147907,,12450983410.320015
3147956,,2138246102.489998
3148004,,39387666252.63985
3148103,,12168220058.640015
3148202,,786483953.4800011
3148301,,773888105.1300004
3148400,,1165443956.1800058
3148509,,1350693851.8700013
3148608,,3735663325.4200034
3148707,,5435963389.709986
3148756,,2125496630.7900004
3148806,,548378945.6299996
3148905,,1033406660.0800009
3149002,,1409870155.1499975
3149101,,2608109819.909995
3149150,,2529603506.520002
3149200,,1034881871.5999998
3149309,,6550746668.889996
3149408,,511905475.19999975
3149507,,565764075.0699992
3149606,,664288526.4000002
3149705,,2065838535.6400025
3149804,,5184854362.200012
3149903,,3091358715.8399997
3149952,,1557582970.309999
3150000,,1242785481.1199977
3150109,,467240973.0500003
3150158,,2692911561.179997
3150208,,1516608231.3800006
3150307,,1454681927.38
3150406,,1408530064.22
3150505,,1598952789.6600008
3150539,,1942004519.4500012
3150570,,2533584955.0599976
3150604,,1626422555.0400016
3150703,,1164762938.5399985
3150802,,1312814454.0700002
3150901,,1632021416.5299993
3151008,,1976317090.9999948
3151107,,1166098808.9999986
3151206,,5939855824.229996
3151305,,2250931708.9800034
3151404,,3803421745.9999986
3151503,,4878673357.600002
3151602,,1648408908.9100013
3151701,,1674686511.0399997
3151800,,27685080874.409973
3151909,,1112387683.5799997
3152006,,8047580647.130001
3152105,,10446630961.379995
3152131,,1667327621.6700003
3152170,,2173085650.530002
3152204,,4596692551.899998
3152303,,704141951.6100008
3152402,,2963111832.7200007
3152501,,20683929825.570053
3152600,,1091115698.0000005
3152709,,1825202410.0199983
3152808,,2740736129.2500014
3152907,,2033571528.1999998
3153004,,1543950803.81
3153103,,689955060.5899993
3153202,,1122976393.7000008
3153301,,1613162040.6900005
3153400,,3355665415.79
3153509,,1543861203.2999992
3153608,,1527191476.030002
3153707,,2131620881.8599987
3153806,,1369756391.9499986
3153905,,1768926296.5600004
3154002,,4684856409.339994
3154101,,2241278735.1899977
3154150,,2000347424.1699946
3154200,,2681321464.6099987
3154309,,5474553204.300008
3154408,,686655803.8700005
3154457,,1264919303.7000012
3154507,,1757523531.0499997
3154606,,30947888793.859993
3154705,,939129489.4399996
3154804,,5010489947.83
3154903,,1605004431.2999997
3155009,,2682238613.8499904
3155108,,1149118237.2000027
3155207,,600259075.1599998
3155306,,1705728074.7199976
3155405,,752049121.2799993
3155504,,4635059853.100003
3155603,,6282371216.359996
3155702,,3148364046.9999943
3155801,,3446784165.140003
3155900,,564745112.4400005
3156007,,3141917231.629995
3156106,,1434768011.6799994
3156205,,452765236.44000006
3156304,,629475342.3899997
3156403,,1521521767.3799992
3156452,,608087732.2599996
3156502,,1315393673.1099973
3156601,,1895774462.800001
3156700,,10130013232.83
3156809,,2227475336.510001
3156908,,4550838637.429993
3157005,,5009912352.189987
3157104,,1749593397.7899985
3157203,,8844963252.14001
3157252,,1795948207.0499983
3157278,,475231698.5300003
3157302,,748143721.5600015
3157336,,1439666719.6900024
3157377,,715640142.23
3157401,,866537112.3600003
3157500,,935151838.7399993
3157609,,1719774587.9100034
3157658,,1177835810.4300008
3157708,,2040950808.3799984
3157807,,17706360513.299957
3157906,,957725808.1400008
3158003,,2544100914.6000023
3158102,,1021124718.1900005
3158201,,2237846377.7499876
3158300,,786866138.3599995
3158409,,495647013.27999926
3158508,,1180324671.9400012
3158607,,752004376.4900026
3158706,,577618151.1100005
3158805,,2744623445.570001
3158904,,1295626562.2200007
3158953,,7365601902.619979
3159001,,1885533514.720001
3159100,,1574374816.8400056
3159209,,1959849515.39
3159308,,513540461.9999983
3159357,,1491110235.3899968
3159407,,482474836.9700004
3159506,,1239566707.7400002
3159605,,7716100244.470004
3159704,,1477994478.5799954
3159803,,5222458298.970005
3159902,,872928620.6400002
3160009,,1014899158.0499996
3160108,,763804235.25
3160207,,1156849411.0699997
3160306,,2042285076.469995
3160405,,3323858302.489997
3160454,,2199770909.16
3160504,,980811981.6599989
3160603,,1088012155.399999
3160702,,8642030836.04
3160801,,1304061831.7800002
3160900,,1968794450.310001
3160959,,2228829382.290001
3161007,,2400481464.9400063
3161056,,1454164831.2899938
3161106,,4046500445.959998
3161205,,674587115.7199998
3161304,,1488650563.4499993
3161403,,1152578365.8900013
3161502,,2134595803.6899962
3161601,,1261800334.349997
3161650,,1226775257.7899978
3161700,,1715093946.760004
3161809,,2036424390.8899972
3161908,,14834383034.95006
3162005,,4240035174.6799974
3162104,,8388105463.140003
3162203,,3228710627.950001
3162252,,1895408011.0300012
3162302,,1343240174.7000039
3162401,,2578982911.7999983
3162450,,2942612403.609996
3162500,,17428359246.359985
3162559,,2946830066.16
3162575,,1356735401.830001
3162609,,1367928931.3000007
3162658,,1690910070.909999
3162708,,3129222385.460004
3162807,,4326306609.629993
3162906,,1877661060.1200004
3162922,,2920355833.5199986
3162948,,2450206946.800001
3162955,,2497274496.930003
3163003,,1305091071.3600006
3163102,,1275730885.8400006
3163201,,484158883.60999954
3163300,,1184454961.2900033
3163409,,1701344753.9599996
3163508,,1380151611.739996
3163607,,1732337584.0000012
3163706,,4866099988.3499975
3163805,,1708691954.920001
3163904,,1616211196.869997
3164001,,1152915944.0699995
3164100,,1662594949.0599995
3164209,,1317187742.7399979
3164308,,1353369746.6499972
3164407,,2028619033.8700008
3164431,,589268951.1400001
3164472,,2509389665.7700014
3164506,,1474619605.6199987
3164605,,1289277926.9100018
3164704,,16055719275.549957
3164803,,1120952929.0099988
3164902,,542207240.1399999
3165008,,2378596897.130005
3165107,,2039842439.7799993
3165206,,719855555.0300004
3165305,,1563578014.8000002
3165404,,1859758948.1799989
3165503,,1131631040.2700014
3165537,,1031212790.3800002
3165552,,2591482676.3100004
3165560,,1616076957.4899983
3165578,,1513874156.98
3165602,,449727020.41999984
3165701,,1043071091.2600008
3165800,,974840902.3899993
3165909,,1820245017.8099964
3166006,,634196153.0500008
3166105,,1254849944.44
3166204,,640465382.12
3166303,,1795319013.9799995
3166402,,454830244.43999976
3166501,,1684137872.1299958
3166600,,1280528980.0899997
3166709,,1250630211.9799974
3166808,,7632929788.050003
3166907,,802288818.269999
3166956,,1265669101.8600001
3167004,,589917044.3799993
3167103,,6501193113.439999
3167202,,22360431732.819996
3167301,,1346878200.319997
3167400,,1641514599.2899938
3167509,,709081086.8799995
3167608,,2486176823.649998
3167707,,1140280649.1299999
3167806,,1929603604.9099991
3167905,,504684061.6200006
3168002,,5334819036.699993
3168051,,1358845566.2599988
3168101,,3752921331.7600026
3168200,,449580273.59000003
3168309,,1970378508.3899999
3168408,,3349489876.2799997
3168507,,1001941968.5999999
3168606,,16163454012.390013
3168705,,7649657626.63
3168804,,2052817005.6199985
3168903,,1008655186.1199994
3169000,,1194417435.8799987
3169059,,1316145027.9799988
3169109,,680207776.1800015
3169208,,1557493555.0299988
3169307,,0.0
3169356,,7369506570.579998
3169406,,6335461682.859995
